y,t,g,Q
0.0,0.0,0.1849469244480133,0.009013570845127106
0.0,0.0,0.08801108598709106,0.000407992658438161
0.0,0.0,0.093038409948349,0.008305951952934265
0.0,0.0,0.24303331971168518,-0.008007513359189034
0.0,0.0,0.11605551838874817,0.0008336207247339189
0.0,0.0,0.038462910801172256,0.0014970836928114295
0.0,0.0,0.03515148535370827,0.04534582421183586
0.0,1.0,0.9953448176383972,-0.0003897899005096406
0.0,0.0,0.5290139317512512,-0.009044693782925606
0.0,1.0,0.48558011651039124,0.03842904046177864
0.0,1.0,0.9966956377029419,0.417621374130249
0.0,0.0,0.02856670506298542,-0.00599250802770257
0.0,0.0,0.03551042824983597,-0.0018926350167021155
0.0,0.0,0.2234274297952652,-0.0011237685102969408
0.0,0.0,0.04032604768872261,0.020698867738246918
0.0,1.0,0.9992984533309937,1.0497781038284302
0.0,0.0,0.1333790272474289,1.5924933904898353e-05
0.0,0.0,0.02630702778697014,0.012495155446231365
0.0,0.0,0.0034221510868519545,0.06100020930171013
0.0,0.0,0.016717035323381424,0.00443137576803565
0.0,0.0,0.016835732385516167,0.003351416438817978
0.0,0.0,0.01806672289967537,-0.002007033908739686
0.0,0.0,0.010723588056862354,-0.0044075241312384605
0.0,1.0,0.9776740074157715,0.005634922534227371
0.0,0.0,0.003604075638577342,-0.0022762943990528584
0.0,1.0,0.9530961513519287,0.0019495950546115637
0.0,1.0,0.9953240752220154,-0.008935711346566677
0.0,0.0,0.0011617933632805943,0.0007432873826473951
1.0,0.0,0.0326315276324749,0.004357011057436466
0.0,0.0,0.02762106992304325,-0.0006185389356687665
0.0,0.0,0.3392578065395355,-0.01230146549642086
0.0,0.0,0.07809095084667206,0.12194066494703293
0.0,0.0,0.047921787947416306,0.0024600315373390913
0.0,0.0,0.025412902235984802,0.0004483275697566569
0.0,1.0,0.8086237907409668,-0.004531968384981155
0.0,1.0,0.007576076313853264,-0.008183061145246029
1.0,0.0,0.0037548572290688753,0.12821678817272186
0.0,0.0,0.052319008857011795,0.00025244103744626045
0.0,1.0,0.3329034447669983,-0.0038192979991436005
0.0,0.0,0.008384643122553825,0.014432688243687153
0.0,0.0,0.007930753752589226,-0.00023359432816505432
0.0,0.0,0.00945416558533907,0.025496283546090126
0.0,1.0,0.7312182784080505,0.03314410522580147
0.0,0.0,0.004123222082853317,0.0008095240918919444
0.0,0.0,0.010988393798470497,0.4391486942768097
0.0,1.0,0.09588351100683212,-0.0007898083422333002
0.0,1.0,0.9859333634376526,-0.005819531623274088
0.0,0.0,0.01867482252418995,0.0001113981707021594
0.0,0.0,0.020270267501473427,-0.0013845713110640645
0.0,1.0,0.2682421803474426,0.018880117684602737
0.0,0.0,0.008384643122553825,0.014432688243687153
0.0,0.0,0.008393822237849236,2.280021544720512e-05
0.0,0.0,0.009178933687508106,-0.005433131940662861
0.0,1.0,0.9565858244895935,-0.023216646164655685
0.0,0.0,0.011845170520246029,0.0007301325094886124
0.0,1.0,0.9503939151763916,-0.0086665702983737
0.0,0.0,0.12432030588388443,-0.0011160926660522819
0.0,1.0,0.7342329621315002,-0.006318304687738419
0.0,0.0,0.20962689816951752,-0.012160386890172958
0.0,0.0,0.08807504177093506,0.006871183402836323
0.0,0.0,0.10482826083898544,-0.003634550143033266
0.0,0.0,0.3089231848716736,0.0022722308058291674
0.0,1.0,0.3022984564304352,-0.00822651106864214
0.0,0.0,0.07567562907934189,-0.0007471336284652352
0.0,0.0,0.21067196130752563,-0.0026963308919221163
0.0,0.0,0.18541426956653595,0.0013646890874952078
0.0,0.0,0.010553805157542229,0.001538875512778759
0.0,0.0,0.01151647325605154,0.0004031345306430012
0.0,1.0,0.9719198346138,0.006062737666070461
0.0,0.0,0.12735824286937714,0.005028937943279743
0.0,0.0,0.2826721966266632,-0.0019659416284412146
0.0,0.0,0.15742725133895874,0.0026974081993103027
0.0,0.0,0.05280352383852005,0.016922371461987495
0.0,0.0,0.12808366119861603,0.0026700920425355434
0.0,1.0,0.8254590630531311,-0.007401740178465843
0.0,0.0,0.020463697612285614,-0.0005494679789990187
1.0,0.0,0.15070022642612457,-0.0006923911860212684
0.0,0.0,0.1987990438938141,0.25061511993408203
0.0,0.0,0.023769348859786987,-0.0013469246914610267
0.0,1.0,0.1432880014181137,-0.0048247226513922215
0.0,0.0,0.2568327486515045,0.00897715799510479
0.0,0.0,0.19448089599609375,0.0022537957411259413
0.0,0.0,0.05024071782827377,0.0003928538062609732
0.0,0.0,0.2331928163766861,-0.0034538288600742817
0.0,0.0,0.21414931118488312,-0.0027839094400405884
0.0,0.0,0.16406403481960297,-0.005145122762769461
0.0,0.0,0.23803985118865967,0.002826344920322299
0.0,0.0,0.07512156665325165,-0.0017905507702380419
